# Merge of lines_argon.dat, lines_neon.dat and lines_xenon.dat
#------------------------------------------------------------------------------
15797.4668  0      22 # ArI from NIST ThArLampAtlas (weak)
15821.0956  0      69 # ArI from NIST ThArLampAtlas
15887.5057  0     130 # ArI from NIST ThArLampAtlas
15904.0309  1     658 # ArI from NIST ThArLampAtlas
15983.90    0       0 # XeI from NIST (air 15979.53    250  XeI)
15993.8589  1    1816 # ArI from NIST ThArLampAtlas
16027.15    0       0 # NeI from NIST (air 16022.771     130  NeI)
#16044.28    0       0  # XeI vacuum
16057.68    1       0 # XeI from NIST (air 16053.29     50  XeI)
#16102.88    0       0 # NeI from NIST (air 16098.485      47  NeI)
16127.0630  1     165 # ArI from NIST ThArLampAtlas
16184.4406  1     293 # ArI from NIST ThArLampAtlas
16268.5110  0      59 # ArI from NIST ThArLampAtlas
16271.05    0       0 # NeI from NIST (average of air 16264.248+16268.956 NeI)
16351.39    0       0 # NeI from NIST (air 16346.923      40  NeI)
16409.74    0       0 # NeI from NIST (air 16405.256     150  NeI)
16428.15    0       0 # NeI from NIST (air 16423.662      15  NeI)
16441.0689  1     984 # ArI from NIST ThArLampAtlas
16479.25    0       0 # NeI from NIST (air 16474.754      81  NeI)
16524.3783  1    1636 # ArI from NIST ThArLampAtlas
16532.60    0       0 # NeI from NIST (air 16528.086      34  NeI)
16553.7824  1     492 # ArI from NIST ThArLampAtlas
16559.01    0       0 # XeI from NIST (air 16554.49    125  XeI)
#16596.04    0       0 # NeI from NIST (air 16591.510      34  NeI)
#16613.98    0       0 # NeI from NIST (air 16609.440      89  NeI)
16638.60    0       0 # NeI from NIST (air 16634.052      35  NeI)
#16671.66    0       0 # NeI from NIST (air 16667.111      16  NeI)
16732.73    1       0 # XeI from NIST (air 16728.16   5000  XeI)
16744.6481  1     663 # ArI from NIST ThArLampAtlas
#16793.38    0       0 # NeI from NIST (air 16788.793      54  NeI)
#16839.15    0       0 # XeI from NIST (air 16834.55     15  XeI)
16866.26    0       0 # NeI from NIST (air 16861.650      37  NeI)
16887.68    0       0 # XeI from NIST (air 16883.07     38  XeI)
16914.68    0       0 # NeI from NIST (air 16910.058      11  NeI)
16945.2121  1   13560 # ArI from NIST ThArLampAtlas
#16988.61    0       0 # NeI from NIST (air 16983.974      67  NeI)
#17145.29    0       0 # XeI from NIST (air 17140.61      5  XeI)
17166.62    1       0 # NeI from NIST (air 17161.929    1800  NeI)
17330.50    1       0 # XeI from NIST (air 17325.77   1650  XeI)
17369.83    0       0 # XeI from NIST (air 17365.09     22  XeI)
17406.6540  0      88 # ArI from NIST ThArLampAtlas
17449.6662  1     734 # ArI from NIST ThArLampAtlas
17487.68    0       0 # XeI from NIST (air 17482.90     42  XeI)
17828.8578  0       0 # ArI from NIST (air 17823.99      0  ArI)
###missing 17829.53
#17892.0671  0      70 # ArI from NIST ThArLampAtlas
17919.6186  1    3393 # ArI from NIST ThArLampAtlas
#18040.74    0       0 # NeI from NIST (air 18035.811    1900  NeI)
18088.12    0       0 # NeI from NIST (air 18083.179    4500  NeI)
#18226.06    0       0 # NeI from NIST (air 18221.087    1600  NeI)
18281.63    0       0 # NeI from NIST (air 18276.6415  14000  NeI)
#18287.61    0       0 # NeI 5850	
#18308.97    0       0 # NeI 4660	
#18364.11    0       0 # NeI 1390	
#18376.46    0       0 # NeI 7420	
#18389.85    0       0 # NeI 4730	
#18394.96    0       0 # NeI from NIST (air 18389.9366   8600  NeI)
#18407.86    0       0 # NeI 3350	
#18427.43    0       0 # NeI 6550	
#18434.4786  0     368 # ArI from NIST ThArLampAtlas
#18463.68    0       0 # NeI 2800	
#18480.84    0       0 # NeI 8100	
#18491.7613  0      49 # ArI from NIST ThArLampAtlas
#18575.2348  0     117 # ArI from NIST ThArLampAtlas
#18596.62    0       0 # NeI from NIST (air 18591.541    6900  NeI)
#18602.78    0       0 # NeI from NIST (air 18597.701    9500  NeI)
#18637.3678  0     114 # ArI from NIST ThArLampAtlas
#18687.34    0       0 # NeI 400	
#18750.1178  0      59 # ArI from NIST ThArLampAtlas
#18942.72    0       0 # NeI 320	
#------------------------------------------------------------------------------
#19579.09    0       0 # NeI from NIST (air 19573.75      260  NeI)
19582.455   0       0 # NeI from NIST (air 19577.110     790  NeI)
19777.86    0       0 # NeI 200	
19822.9091  1     732 # ArI from NIST ThArLampAtlas
19950.5093  0      96 # ArI from NIST ThArLampAtlas
19971.1802  1     436 # ArI from NIST ThArLampAtlas
19997.689   0     330 # ArI from NIST ThArLampAtlas
20031.1309  0     114 # ArI from NIST ThArLampAtlas
20035.5675  0      46 # ArI from NIST ThArLampAtlas
20074.4052  0      59 # ArI from NIST ThArLampAtlas
20192.70    0      80 # XeI form NIST (vacuum)
20267.78    1    2300 # XeI from NIST (vacuum)
20322.5535  1     303 # ArI from NIST ThArLampAtlas
20355.771   1     630 # NeI from NIST (vacuum)
#20359.40    0       0 # NeI 360 (faint)
20421.587   0      37 # NeI from NIST (vacuum)
20574.4263  0      76 # ArI from NIST ThArLampAtlas
20599.07    0      11 # XeI from NIST (vacuum)
20621.8566  1    2952 # ArI form NIST ThArLampAtlas
20652.7624  1     216 # ArI from NIST ThArLampAtlas
20721.8468  0     500 # ArI from NIST ThArLampAtlas
20739.2201  0     128 # ArI from NIST ThArLampAtlas
20816.7131  0     136 # ArI form NIST ThArLampAtlas
20847.438   0      18 # ArII form NIST (vacuum)
#20854.446   0      11 # NeI from NIST (vacuum) (faint)
20857.615   0       6 # XeI from NIST (vacuum)
20910.236   0      29 # NeI from NIST (vacuum)
20991.8387  1    1521 # ArI form NIST ThArLampAtlas
#21041.5644  0      26 # ArI from NIST ThArLampAtlas (weak)
21047.013   1    2700 # NeI from NIST (vacuum)
21225.461   0       4 # ArII from NIST (vacuum)
21338.7089  1     166 # ArI form NIST ThArLampAtlas
21378.892   0      26 # XeI from NIST (vacuum)
21420.94    0       0 # NeI 280	
21427.88    0       0 # NeI 280	
21475.961   1     140 # XeI from NIST (vacuum)
21509.615   0      90 # NeI from NIST (vacuum)
21540.0839  1     837 # ArI from NIST ThArLampAtlas
21584.087   0       0 # NeI from NIST (vacuum: average of 21582.413+21585.760)
21675.908   0     100 # ArI from NIST ThArLampAtlas
21714.039   1    2900 # NeI from NIST (vacuum)
